"populace","oblast","puvod","zemepisna_sirka","zemepisna_delka","tloustka_listu_mm","teplota_rocni_C","teplota_sezonnost","teplota_max_C","teplota_min_C","srazky_rocni_mm","srazky_nejvlhci_mesic_mm","srazky_nejsussi_mesic_mm","srazky_sezonnost"
"CN1","CN","Puvodni",29.30513889,117.8509722,0.34612,18.2500000000001,817.8,32.85,1.65000000000003,2073.1,382.2,52.8,56.5
"CN10","CN","Puvodni",26.84673278,116.3713668,0.3426,18.95,770.7,33.15,2.45000000000005,1873.9,325,46.8,58.1
"CN11","CN","Puvodni",26.55394779,116.2719739,0.32268,18.15,705.9,31.2500000000001,2.45000000000005,2483.8,421.2,60.3,58.4
"CN12","CN","Puvodni",26.271136,116.319466,0.32772,19.05,711.7,32.15,3.05000000000001,1905.8,322.9,45.6,59.6
"CN13","CN","Puvodni",26.02937834,116.1649092,0.32304,19.55,719.8,32.95,3.35000000000002,1944.6,317.3,47.3,59.2
"CN14","CN","Puvodni",25.80480926,115.9375164,0.33296,19.7500000000001,713.1,32.95,3.65000000000003,1798.8,282.5,43.9,56.6
"CN15","CN","Puvodni",25.52830549,115.8388351,0.34272,19.85,689.3,32.35,4.05000000000001,1470.2,226.9,37.4,55
"CN16","CN","Puvodni",25.23614213,115.7325835,0.32432,19.95,683.8,31.95,4.35000000000002,1632.3,244.5,38.3,54.6
"CN17","CN","Puvodni",24.95892114,115.6132102,0.33612,19.55,648.6,30.55,4.45000000000005,1768.7,261.1,41.7,54.9
"CN18","CN","Puvodni",24.71166183,115.8243043,0.34084,19.95,596.7,30.35,5.35000000000002,1979.5,301.2,42.1,56.5
"CN19","CN","Puvodni",23.824923,115.384941,0.328333333333333,18.95,509.1,28.15,5.55000000000001,2442.2,405.7,50.6,60.1
"CN2","CN","Puvodni",29.21291667,117.1526389,0.32036,18.2500000000001,813.2,32.65,1.35000000000002,2230.7,384.5,58.1,54.4
"CN20","CN","Puvodni",23.74534751,115.2724656,0.34804,19.35,525.7,28.55,5.65000000000003,2595.4,452.9,49.3,63.8
"CN21","CN","Puvodni",23.636976,113.839645,0.36632,19.2500000000001,499.8,27.85,6.45000000000005,3217.8,641.7,57.3,69.3
"CN22","CN","Puvodni",23.29111094,114.0087504,0.32708,17.7500000000001,423.8,25.55,5.85000000000002,2720.9,548.3,42.5,72.1
"CN23","CN","Puvodni",23.74044201,113.9119002,0.31288,17.95,479.4,26.35,5.45000000000005,2913.7,553.3,56.4,65.6
"CN24","CN","Puvodni",24.43827717,113.2544981,0.358266666666667,19.85,597.1,29.55,6.05000000000001,3039,518.7,63.2,61.6
"CN25","CN","Puvodni",24.61707601,113.7600787,0.32408,19.45,600.6,29.7500000000001,5.15000000000003,2094.2,336.1,49.9,57.6
"CN26","CN","Puvodni",26.10293744,114.6875711,0.34132,19.05,755.4,32.65,3.25000000000006,1507,213.7,38.4,45.2
"CN27","CN","Puvodni",29.1022451,117.1228408,0.31508,18.15,806.6,32.45,1.35000000000002,2260.7,395.4,59.9,54.9
"CN28","CN","Puvodni",29.42955186,117.1642088,0.31724,17.95,815.5,32.35,1.25000000000006,2013.4,343.9,50.9,54
"CN29","CN","Puvodni",29.63833675,117.2212437,0.37916,17.35,816.3,31.7500000000001,0.750000000000057,2035.1,346.8,50.3,53.5
